time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669771705.3191888,16846.58,1267.08,0.043628,2.797
1669771765.3630075,16842.23,1267.45,0.0437,2.796
1669771825.3812838,16851.46,1268.85,0.043684,2.8
1669771886.2022116,16841.22,1268.28,0.043684,2.801
1669771945.3465872,16859.94,1270.15,0.0436,2.808
1669772006.0415983,16841.06,1269.87,0.043652,2.8
1669772065.476918,16830.83,1268.62,0.0438,2.798
1669772125.4758162,16830.43,1269.42,0.04375,2.796
1669772185.2102337,16842.83,1270.2,0.04372,2.798
1669772245.562374,16848.09,1270.95,0.04363,2.805
1669772305.4124403,16851.47,1270.71,0.04371,2.805
1669772365.3978975,16841.79,1269.15,0.04369,2.805
1669772425.9820545,16844.4,1269.06,0.043634,2.8
1669772485.3731918,16842.28,1268.69,0.043716,2.803
1669772546.1459105,16840.42,1269.02,0.043715,2.8
1669772605.3427403,16841.61,1268.98,0.043717,2.801
1669772665.58623,16835.24,1268.1,0.043679,2.802
1669772725.56144,16837.52,1268.68,0.043716,2.801
1669772785.3529885,16830.65,1267.76,0.043722,2.798
1669772845.4161503,16848.59,1269.55,0.043652,2.801
1669772905.3353086,16851.91,1270.14,0.04359,2.802
1669772965.8475564,16848.33,1270.2,0.043588,2.805
1669773025.3844123,16861.71,1271.37,0.043588,2.806
1669773085.9194431,16875.67,1272.0,0.0435,2.812
1669773145.3839831,16880.11,1273.35,0.04347,2.81
1669773205.289117,16872.56,1272.25,0.04352,2.812
1669773265.3646908,16889.34,1273.2,0.04349,2.81
1669773325.413169,16876.99,1272.85,0.043549,2.81
1669773385.2778685,16890.49,1274.19,0.043403,2.815
1669773445.424467,16885.25,1273.16,0.043502,2.811
1669773505.8590114,16892.06,1274.62,0.043502,2.815
1669773565.4005346,16889.72,1274.47,0.043487,2.817
1669773626.2738016,16879.22,1272.92,0.043487,2.808
1669773685.3925312,16889.02,1272.95,0.043488,2.812
1669773745.5384393,16908.62,1273.1,0.043316,2.817
1669773805.3123758,16925.93,1274.76,0.0433,2.823
1669773865.8218906,16918.87,1273.98,0.04334,2.821
1669773925.3236406,16918.58,1274.23,0.043335,2.821
1669773985.3659687,16924.22,1274.17,0.043266,2.825
1669774045.4391112,16942.35,1275.44,0.043195,2.826
1669774105.3395529,16951.5,1274.84,0.043075,2.828
1669774166.2957654,16934.4,1273.69,0.043198,2.831
1669774225.3662553,16913.14,1271.68,0.043308,2.822
1669774286.0871615,16896.28,1270.91,0.043354,2.821
1669774345.3913743,16893.99,1270.01,0.043378,2.819
1669774405.6694477,16897.32,1270.76,0.043376,2.819
1669774465.401448,16906.25,1271.61,0.043372,2.82
1669774525.3530269,16897.92,1271.07,0.043332,2.819
1669774585.223637,16917.65,1272.25,0.043255,2.824
1669774645.4071696,16917.88,1272.32,0.0432,2.824
1669774705.863048,16957.99,1274.29,0.0431,2.836
1669774765.5167766,16959.99,1273.51,0.04302,2.836
1669774826.3797405,16970.68,1273.5,0.043045,2.84
1669774885.6794868,17002.41,1274.76,0.042873,2.845
1669774945.3481452,17011.0,1275.15,0.042735,2.851
1669775005.3776667,17032.73,1278.2,0.04257,2.859
1669775065.5223496,17021.72,1276.41,0.042644,2.857
1669775125.4523726,17051.97,1277.43,0.042573,2.858
1669775185.4505992,17035.6,1277.17,0.042689,2.857
1669775246.748229,17049.34,1279.31,0.042493,2.867
1669775305.5212688,17017.67,1276.95,0.042682,2.856
